iter	Logloss
0	0.6913474931
1	0.6895782318
2	0.6876468062
3	0.6853842702
4	0.6837446557
5	0.6817910175
6	0.6801488101
7	0.6781509055
8	0.6766684254
9	0.6752026942
10	0.6734361947
11	0.6716434293
12	0.668813169
13	0.6663751238
14	0.6642732455
15	0.6624957687
16	0.6606433723
17	0.6588500701818	0.6569923825
19	0.6555842592
20	0.6539035605
21	0.6522619592
22	0.6503843334
23	0.6487646898
24	0.6470839182525	0.64535953626	0.6427636875
27	0.6405623456
28	0.6388910876
29	0.6372277339
30	0.6356757383
31	0.6341132919
32	0.6322118706
33	0.6301833789
34	0.6285560893
35	0.6267088022
336	0.6265773641
37	0.6252100468338	0.6230085625
39	0.6213515699
40	0.6193953223
41	0.6175965667
42	0.61596124043	0.6131151285
44	0.6114783155
45	0.6099678742
46	0.6081611349
47	0.6065952049
48	0.6052068505
49	0.6035720011
50	0.6021077169
51	0.6006363763
52	0.5989492801
53	0.5976832476
54	0.5961124268
55	0.5946624875
56	0.5931886368
57	0.5916119715
58	0.5900385943
59	0.5883487066
60	0.5867705378
61	0.5854572919
62	0.5839771363
63	0.5823842453
64	0.580101447
65	0.5785848035
66	0.5771484375
67	0.5755312145
68	0.5735979809
69	0.5720694429
70	0.5707392361
71	0.5692546268
72	0.5677825875
73	0.5659822755
74	0.5642566449
75	0.5628095799
76	0.5611952013
77	0.5599883331
78	0.5581746201
79	0.5567027132
80	0.5555075473
81	0.5532234609
82	0.5519891845
83	0.5506508185
84	0.5487779644
85	0.5472208758
86	0.5460137626
87	0.5447548065
88	0.5430634154
89	0.5413373212
90	0.5392454333
91	0.537461692	0.5389617383
93	0.5373894705
94	0.535910305
95	0.95	0.53235696	0.96	0.53066997	0.97	0.5289998	0.598	0.5278599	0.599	0.52665100	0.100	0.52514101	0.5253091455
102	0.5241637197
103	0.5228292611
104	0.5216278401
105	0.5203456349
106	0.5187837448
107	0.5177351501
108	0.5166945325
109	0.5153674351
110	0.5140999258
111	0.5128276414
112	0.5112564398
113	0.5102038715
114	0.5088605285
115	0.5070753743
116	0.5059449755
117	0.5046685802
